"TF" "Target" "Score" "Likelihood"
"RARA" "TRIM8" "0.614073747067286" "0.0009990009990009"
"RARA" "KCNK7" "0.62017306731186" "0.285714285714286"
"RARA" "EHBP1L1" "0.611412090106366" "0.0009990009990009"
"RARA" "CTU2" "0.622163563819182" "0.003996003996004"
"RARA" "RIN1" "0.705041808981536" "0.35964035964036"
"RARA" "CLCF1" "0.807629110509805" "0.0809190809190809"
"RARA" "P2RY2" "0.552561413058781" "0.0079920079920079"
"RARA" "CCIN" "0.552274011893446" "0.0799200799200799"
"RARA" "STK40" "0.810754364289831" "0.0059940059940059"
"RARA" "LRP10" "0.731933132534815" "0.012987012987013"
"RARA" "TMEM184B" "0.700087529554971" "0.002997002997003"
"RARA" "BRD2" "0.693114344460599" "0.0069930069930069"
"RARA" "ATP10A" "0.59039215343086" "0.178821178821179"
"RARA" "HAUS3" "-0.591140236826306" "0.002997002997003"
"RARA" "C8orf58" "0.535294413072275" "0.0059940059940059"
"RARA" "MIR4257" "0.631687277952581" "0.010989010989011"
"HOXB4" "FNIP2" "-0.566977601886113" "0.0079920079920079"
"HOXB4" "NUAK1" "0.593821051956672" "0.0009990009990009"
"HOXB4" "POLDIP3" "0.561582981665225" "0.004995004995005"
"HOXB4" "MYOF" "-0.55548315816978" "0.0009990009990009"
"HOXB4" "PCBP1" "-0.572356754971912" "0.0009990009990009"
"NR2F1" "TRAM2" "0.562737404517137" "0.0079920079920079"
"NR2F1" "NUAK1" "0.714219810050372" "0.135864135864136"
"NR2F1" "C3orf18" "0.537795983842916" "0.0009990009990009"
"NR2F1" "NRP1" "0.547117998449431" "0.013986013986014"
"NR2F1" "SYNGR1" "0.655705954510622" "0.362637362637363"
"NR2F1" "ISYNA1" "0.591386317012558" "0.0569430569430569"
"NR2F1" "LAMA4" "0.640563490486777" "0.0009990009990009"
"NR2F1" "LTBP2" "0.5750559988019" "0.0009990009990009"
"NR2F1" "MXRA8" "0.558101304775576" "0.032967032967033"
"NR2F1" "MYOZ3" "0.598597932339575" "0.0009990009990009"
"NR2F1" "ZCCHC24" "0.672858262356952" "0.404595404595405"
"NR2F1" "SMTNL2" "0.543748081928826" "0.0009990009990009"
"NR2F1" "PCDHGC3" "0.600955858210401" "0.003996003996004"
